country,wine_servings,total_litres_of_pure_alcohol,continent
Moldova,18,6.3,Europe
Romania,167,10.4,Europe
Russian Federation,73,11.5,Asia
Rwanda,0,6.8,Africa
St. Kitts & Nevis,32,7.7,North America
St. Lucia,71,10.1,North America
St. Vincent & the Grenadines,11,6.3,North America
Samoa,24,2.6,Oceania
San Marino,0,0.0,Europe
Sao Tome & Principe,140,4.2,Africa
Saudi Arabia,0,0.1,Asia
Senegal,7,0.3,Africa
Serbia,127,9.6,Europe
Seychelles,51,4.1,Africa
Sierra Leone,2,6.7,Africa
Singapore,11,1.5,Asia
Slovakia,116,11.4,Europe
Slovenia,276,10.6,Europe
Solomon Islands,1,1.2,Oceania
Somalia,0,0.0,Africa
South Africa,81,8.2,Africa
Spain,112,10.0,Europe
Sri Lanka,0,2.2,Asia
Sudan,0,1.7,Africa
Suriname,7,5.6,South America
Swaziland,2,4.7,Africa
Sweden,186,7.2,Europe
Switzerland,280,10.2,Europe
Syria,16,1.0,Asia
Tajikistan,0,0.3,Asia
Thailand,1,6.4,Asia
Macedonia,86,3.9,Europe
Timor-Leste,4,0.1,Asia
Togo,19,1.3,Africa
Tonga,5,1.1,Oceania
Trinidad & Tobago,7,6.4,North America
Tunisia,20,1.3,Africa
Turkey,7,1.4,Asia
Turkmenistan,32,2.2,Asia
Tuvalu,9,1.0,Oceania
Uganda,0,8.3,Africa
Ukraine,45,8.9,Europe
United Arab Emirates,5,2.8,Asia
United Kingdom,195,10.4,Europe
Tanzania,1,5.7,Africa
USA,84,8.7,North America
Uruguay,220,6.6,South America
Uzbekistan,8,2.4,Asia
Vanuatu,11,0.9,Oceania
Venezuela,3,7.7,South America
Vietnam,1,2.0,Asia
Yemen,0,0.1,Asia
Zambia,4,2.5,Africa
Zimbabwe,4,4.7,Africa
